sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-14 05:04:50 -0400,2018-06-14 04:53:02 -0400,2018-06-14 05:04:10 -0400,452.333
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-14 05:17:32 -0400,2018-06-14 05:07:37 -0400,2018-06-14 05:17:27 -0400,405.183
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-15 08:17:42 -0400,2018-06-15 08:01:42 -0400,2018-06-15 08:16:51 -0400,428.567
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-16 08:48:14 -0400,2018-06-16 08:32:59 -0400,2018-06-16 08:48:08 -0400,511.367
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-16 09:01:18 -0400,2018-06-16 08:49:29 -0400,2018-06-16 09:01:15 -0400,438.533
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-17 08:54:25 -0400,2018-06-17 08:48:52 -0400,2018-06-17 08:53:51 -0400,187.067
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-17 09:06:35 -0400,2018-06-17 08:54:35 -0400,2018-06-17 09:06:29 -0400,377.2
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-17 09:18:58 -0400,2018-06-17 09:06:44 -0400,2018-06-17 09:18:51 -0400,394.45
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-19 19:58:37 -0400,2018-06-19 19:48:16 -0400,2018-06-19 19:58:32 -0400,419.75
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-19 20:10:14 -0400,2018-06-19 19:58:45 -0400,2018-06-19 20:10:09 -0400,488.75
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-21 09:10:07 -0400,2018-06-21 09:01:58 -0400,2018-06-21 09:10:03 -0400,353.817
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-21 09:14:32 -0400,2018-06-21 09:10:16 -0400,2018-06-21 09:14:28 -0400,207.767
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-06-21 09:25:19 -0400,2018-06-21 09:14:44 -0400,2018-06-21 09:25:00 -0400,410.55
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-12-20 17:52:09 -0400,2018-12-20 17:40:38 -0400,2018-12-20 17:52:03 -0400,226.933
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2018-12-20 18:14:51 -0400,2018-12-20 17:52:18 -0400,2018-12-20 18:14:47 -0400,295.32
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2019-01-15 09:17:15 -0400,2019-01-15 09:01:10 -0400,2019-01-15 09:17:00 -0400,270.48
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2019-01-17 09:29:47 -0400,2019-01-17 09:15:31 -0400,2019-01-17 09:29:18 -0400,296.547
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2019-02-05 09:17:19 -0400,2019-02-05 09:02:52 -0400,2019-02-05 09:17:04 -0400,304.827
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2019-02-07 09:12:02 -0400,2019-02-07 08:59:11 -0400,2019-02-07 09:11:49 -0400,273.547
"Home Workouts","1.2",,"ActiveEnergyBurned","kcal",2019-05-15 00:33:40 -0400,2019-05-15 00:14:08 -0400,2019-05-15 00:33:31 -0400,256.737
"Home Workouts","1.0",,"ActiveEnergyBurned","kcal",2019-05-28 22:33:50 -0400,2019-05-28 22:12:27 -0400,2019-05-28 22:33:23 -0400,122.686
