sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"iPhone (2)","9.1","<<HKDevice: 0x28219c370>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 11:01:35 -0400,2015-11-18 11:01:35 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x28219c4b0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 12:02:15 -0400,2015-11-18 12:02:15 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x28219c550>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 14:35:28 -0400,2015-11-18 14:35:28 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x28219c5f0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 14:35:36 -0400,2015-11-18 14:35:36 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x28219c690>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 16:03:33 -0400,2015-11-18 16:03:33 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x28219c730>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 16:03:54 -0400,2015-11-18 16:03:54 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x28219c7d0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 16:04:24 -0400,2015-11-18 16:04:24 -0400,2
"iPhone (2)","9.1","<<HKDevice: 0x282188000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 18:20:24 -0400,2015-11-18 18:20:24 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x2821880a0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 05:42:21 -0400,2015-11-18 18:20:39 -0400,2015-11-18 18:20:39 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x282188140>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 14:04:44 -0400,2015-11-19 12:57:36 -0400,2015-11-19 12:57:36 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x2821881e0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-19 17:01:45 -0400,2015-11-19 16:43:27 -0400,2015-11-19 16:43:27 -0400,1
"iPhone (2)","9.1","<<HKDevice: 0x282188280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,2, software:9.1>","FlightsClimbed","count",2015-11-20 20:52:36 -0400,2015-11-20 20:43:04 -0400,2015-11-20 20:43:04 -0400,1
